elbow_collarbone_paw,hip_iliac_crest_knee,knee_hip_ankle,ankle_knee_mtp
120.1,144.7,104.5,40.1
115.3,101.3,169.0,62.1
114.7,122.8,143.2,52.8
107.8,121.0,136.8,52.2
98.3,122.2,132.5,49.4
89.8,112.0,141.7,52.0
107.5,105.6,135.0,51.5
104.8,178.8,158.8,57.4
108.4,108.7,145.7,57.5
111.7,125.7,139.4,59.2
116.8,122.6,134.8,67.7
121.0,111.2,137.9,67.7
93.8,46.5,162.7,67.7
91.7,45.0,164.1,73.1
90.1,127.2,133.8,75.7
91.4,148.7,122.9,79.3
95.9,135.8,121.7,89.1
107.1,157.7,108.6,76.5
115.4,142.7,95.8,49.9
123.3,92.2,163.5,44.4
128.7,120.8,138.5,48.0
133.7,141.1,132.0,61.7
149.4,125.3,144.5,74.7
129.1,154.3,146.8,69.2
129.2,117.7,143.1,65.1
108.4,154.1,120.8,58.9
84.5,145.9,133.0,60.6
78.5,139.8,132.8,55.4
85.6,141.4,135.2,55.8
99.0,148.2,138.7,55.2
107.3,142.1,145.3,58.8
107.8,132.0,143.7,54.1
108.4,109.8,154.6,56.3
110.1,118.7,144.5,52.5
105.8,122.6,148.5,52.6
108.3,131.8,143.1,51.2
109.4,123.9,140.4,50.0
110.3,122.1,142.4,54.3
112.7,132.1,146.4,54.3
109.9,107.6,148.2,54.1
105.4,97.0,164.8,61.5
111.9,110.0,144.7,55.9
108.1,98.7,159.1,60.1
108.2,95.7,161.7,66.4
111.3,110.7,148.8,60.5
111.9,108.2,153.6,60.5
107.3,107.9,147.0,58.4
107.3,104.7,144.4,48.0
111.5,106.0,143.2,47.3
113.4,91.5,154.7,52.0
109.2,97.8,161.5,60.7
111.1,93.5,153.5,60.5
110.6,104.5,153.8,62.4
113.0,112.6,151.9,60.7
113.6,176.9,154.7,60.0
111.0,173.8,148.7,57.1
102.8,154.9,146.1,61.1
96.8,127.2,128.8,64.4
97.3,122.6,130.8,66.1
91.5,107.3,146.6,11.7
91.3,103.8,145.5,77.3
93.6,129.2,131.5,72.5
102.8,163.5,136.7,13.4
97.4,172.9,153.2,77.1
108.1,173.9,148.4,80.4
107.5,174.4,151.1,70.9
50.9,164.9,146.9,43.6
50.5,143.9,137.0,38.3
116.0,149.3,123.7,51.4
122.8,163.3,128.5,70.4
48.7,152.5,111.6,55.0
148.7,168.5,38.0,31.0
141.1,103.5,152.2,62.9
114.7,112.1,137.6,51.1
86.7,120.6,132.0,51.6
83.3,124.5,132.3,50.2
96.9,122.4,138.1,48.2
113.7,122.1,140.0,50.1
120.3,122.1,137.6,46.0
116.7,114.6,135.4,45.0
112.3,123.4,131.6,48.6
106.3,125.2,138.2,49.1
108.8,116.6,139.1,50.8
102.1,111.1,137.3,46.1
103.2,167.2,128.6,50.1
101.1,138.3,127.9,55.0
95.4,149.5,122.3,56.6
94.4,121.0,121.2,55.8
93.9,117.3,119.2,65.9
92.7,127.2,122.1,71.9
89.6,127.7,122.3,68.1
91.1,118.9,133.2,76.1
92.2,146.5,122.5,68.9
88.6,151.9,132.6,65.9
93.2,128.6,144.9,58.0
94.9,127.9,143.7,52.6
98.4,149.1,139.2,8.1
100.3,146.6,142.9,13.8
99.7,129.9,153.5,67.6
102.7,117.4,156.9,88.9
110.2,105.3,157.8,16.9
119.6,93.4,162.5,65.0
121.6,110.4,144.1,44.6
