elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
151.3,121.0,77.6,81.3,81.3,136.9,136.9,60.9
146.7,120.4,78.6,96.6,96.6,76.7,76.7,59.6
143.7,117.0,75.5,79.5,79.5,97.3,97.3,61.3
138.7,120.8,82.9,71.8,71.8,109.4,109.4,60.4
134.7,128.6,85.1,71.1,71.1,118.7,118.7,58.7
133.3,125.9,88.3,74.4,74.4,114.7,114.7,60.4
148.0,151.1,101.1,77.7,77.7,123.1,123.1,56.5
152.9,148.0,144.7,89.7,89.7,106.3,106.3,56.4
147.2,134.7,90.5,71.9,71.9,117.7,117.7,54.1
137.0,128.6,79.8,61.5,61.5,121.3,121.3,53.1
137.8,114.8,74.8,58.3,58.3,118.7,118.7,53.2
134.9,106.0,73.9,61.1,61.1,112.6,112.6,50.2
146.5,114.6,141.0,143.6,143.6,113.1,113.1,50.8
151.5,116.8,147.4,145.8,145.8,113.0,113.0,51.8
158.6,118.1,60.9,57.8,57.8,115.4,115.4,55.1
164.8,114.6,58.8,53.8,53.8,129.3,129.3,58.0
167.5,110.6,65.5,49.4,49.4,134.2,134.2,66.1
142.5,107.1,58.1,51.4,51.4,129.8,129.8,40.4
137.4,105.1,61.0,58.0,58.0,133.7,133.7,59.8
134.5,103.3,62.7,74.5,74.5,77.1,77.1,61.2
140.6,101.4,78.4,62.8,62.8,85.6,85.6,69.2
145.3,97.5,75.4,73.1,73.1,91.9,91.9,63.5
141.6,99.1,88.0,79.1,79.1,78.8,78.8,58.3
176.8,94.0,59.7,75.0,75.0,86.2,86.2,57.5
151.5,78.7,94.7,73.4,73.4,80.6,80.6,57.9
143.0,83.1,82.2,67.6,67.6,81.8,81.8,60.0
157.4,106.9,76.8,66.9,66.9,72.0,72.0,61.3
155.4,140.9,79.6,65.2,65.2,74.7,74.7,69.6
153.9,135.7,74.9,69.6,69.6,69.2,69.2,70.1
