,Group,Day,Number Rat,Step Params,Angle Params,Count Step,Average Time Step,Total Time Step(%),Step Height,Max Angel,Min Angel
0,Intact,,1,30,15,252,16.61904761904762,34.80139604454047,0,89.70901360544204,62.811734693877575
1,Intact,,2,30,10,188,27.77659574468085,41.264322402212564,0,84.02693768996964,49.6904255319149
2,Intact,,3,25,15,210,24.042857142857144,46.23203003387968,0,86.85452380952378,63.213333333333345
3,Intact,,4,25,15,251,20.083665338645417,43.903501132206934,0,83.06627774615819,48.69726807057485
4,Intact,,5,25,15,149,24.16778523489933,32.807944606414,0,82.42109300095879,58.58494726749761
5,SCI,3,10,50,10,0,0.0,0.0,0,,
6,SCI,3,1,25,5,26,30.115384615384617,7.243293246993525,0,167.28571428571425,162.37142857142857
7,SCI,3,2,30,8,25,27.96,6.455485777613594,0,164.65914285714288,155.70742857142855
8,SCI,3,3,30,10,4,20.0,0.7401924500370096,0,170.14285714285714,163.81785714285712
9,SCI,3,4,30,10,0,0.0,0.0,0,,
10,SCI,3,5,30,10,1,20.0,0.18501387604070307,0,169.62142857142857,147.8142857142857
11,SCI,3,6,30,8,6,25.0,1.3868343195266273,0,171.0297619047619,159.35
12,SCI,3,7,50,10,38,37.39473684210526,13.147668393782382,0,164.12819548872184,116.88646616541354
13,SCI,3,8,50,10,36,27.02777777777778,8.997595709265767,0,156.5855158730159,123.38214285714285
14,SCI_TMT,3,10,30,8,252,21.1984126984127,45.12586585571887,0,136.73137755102027,75.07335600907034
15,SCI_TMT,3,1,50,10,23,36.869565217391305,6.687697160883281,0,168.40993788819878,143.04099378881983
16,SCI_TMT,3,2,50,10,12,20.5,2.144725370531822,0,133.46964285714284,74.76666666666667
17,SCI_TMT,3,3,50,10,2,29.0,0.47728768926925613,0,157.52499999999998,149.77142857142857
18,SCI_TMT,3,4,50,10,13,27.615384615384617,2.76749922910885,0,172.95714285714286,124.08131868131866
19,SCI_TMT,3,5,10,8,24,20.083333333333332,5.746304244158321,0,175.45982142857142,142.81249999999994
20,SCI_TMT,3,6,30,8,10,24.0,2.0080321285140563,0,165.44071428571428,157.24571428571429
21,SCI_TMT,3,7,30,8,14,32.57142857142857,3.5206917850525015,0,170.8045918367347,155.26632653061225
22,SCI_TMT,3,9,30,8,17,24.0,3.6736898973527823,0,170.54705882352937,162.26554621848734
23,SCI,7,10,30,10,44,30.113636363636363,12.220992436819774,0,141.5965909090909,115.87727272727274
24,SCI,7,1,30,10,76,34.71052631578947,24.389792899408285,0,133.56597744360894,86.71597744360902
25,SCI,7,2,30,10,1,37.0,0.340762571375944,0,160.0857142857143,151.87142857142857
26,SCI,7,3,30,10,14,20.0,2.5882787946015897,0,120.23214285714282,45.512244897959185
27,SCI,7,4,99,10,66,51.696969696969695,31.48182321461524,0,177.09285714285716,133.97316017316024
28,SCI,7,5,60,10,19,35.68421052631579,6.268491124260354,0,177.20300751879694,140.46691729323308
29,SCI,7,6,60,8,0,0.0,0.0,0,,
30,SCI,7,7,60,8,60,27.483333333333334,15.226223453370269,0,146.06416666666664,86.64071428571427
31,SCI,7,8,30,15,19,29.210526315789473,5.122761676204541,0,95.28082706766915,65.20150375939849
32,SCI,7,9,30,10,76,31.236842105263158,21.944906637086337,0,104.15592105263158,84.15563909774437
33,SCI_TMT,7,1,50,15,3,69.33333333333333,1.922721390275467,0,121.18333333333334,49.72857142857143
34,SCI_TMT,7,2,50,15,41,45.609756097560975,17.286004806803476,0,160.87369337979092,101.05087108013936
35,SCI_TMT,7,3,90,30,119,33.36974789915966,36.836734693877546,0,169.3206482593037,109.96362545018002
36,SCI_TMT,7,4,90,30,2,29.0,0.5360443622920518,0,175.93571428571428,90.57857142857142
37,SCI_TMT,7,5,120,10,8,51.5,3.7993360383622274,0,167.33125,134.31964285714287
38,SCI_TMT,7,6,50,10,10,30.9,2.8474014006634722,0,159.375,129.27142857142854
39,SCI_TMT,7,7,70,10,105,31.304761904761904,30.407030527289546,0,151.54646258503405,95.82149659863941
