elbow_collarbone_paw,hip_iliac_crest_knee,knee_hip_ankle,ankle_knee_mtp
135.9,153.4,160.9,177.9
139.6,147.9,164.5,163.4
139.2,160.6,168.1,173.3
142.8,161.0,171.6,167.6
138.4,162.6,175.8,174.0
120.4,163.4,173.9,177.6
111.3,162.3,175.4,173.5
115.6,165.2,176.4,177.0
116.9,169.2,179.7,180.0
121.2,169.3,178.0,180.0
130.0,167.0,180.0,172.9
133.3,166.4,178.3,178.2
132.8,167.4,178.6,176.6
134.7,168.3,180.0,173.3
141.5,168.4,177.4,175.4
147.2,164.5,177.7,175.5
148.7,160.0,176.2,178.7
149.3,167.3,176.7,177.0
148.5,157.6,174.7,176.3
148.1,163.0,173.1,176.9
158.5,164.4,170.4,177.5
176.2,164.8,165.2,176.3
113.2,166.8,155.7,171.0
131.4,157.0,155.9,169.4
140.2,156.2,154.8,171.2
146.7,154.6,155.3,169.8
152.4,156.0,155.9,172.1
161.1,146.9,159.4,171.4
168.4,147.1,159.1,173.8
167.7,154.2,161.4,175.5
164.5,153.1,155.6,170.6
162.5,139.9,174.8,177.2
161.4,136.8,172.9,173.2
160.3,135.8,173.6,148.0
157.2,134.7,171.2,132.3
147.9,134.8,169.4,145.3
138.9,145.6,174.4,158.4
134.5,137.9,167.7,164.6
134.5,147.3,173.4,172.4
134.6,142.4,169.3,159.9
138.4,147.3,176.1,159.4
135.8,137.6,171.8,162.5
135.2,142.6,174.5,168.1
131.8,144.5,176.3,171.4
132.9,146.4,177.4,169.3
135.7,153.7,174.8,160.0
140.8,152.2,175.8,165.6
143.8,153.4,176.1,166.0
144.8,147.4,178.2,168.0
147.9,154.6,177.6,166.2
149.0,155.1,177.0,164.3
152.9,157.5,180.0,163.9
152.0,158.7,165.4,164.6
153.1,156.6,168.4,158.5
145.6,154.4,175.3,171.4
143.6,148.1,168.4,151.2
122.1,146.7,167.6,141.9
136.5,144.0,177.7,148.1
101.7,129.6,180.0,154.4
153.8,137.3,177.8,154.9
152.1,141.6,173.5,157.0
141.7,145.8,170.3,164.2
140.8,159.4,167.5,171.0
142.4,157.9,166.6,178.7
158.1,156.5,167.5,153.2
160.1,160.8,165.8,155.2
166.6,157.1,168.9,161.3
179.6,158.5,164.4,164.2
173.6,160.8,160.8,162.9
127.6,165.1,159.8,168.2
131.6,171.5,164.2,169.1
138.7,172.1,169.7,171.5
133.1,169.5,177.4,175.9
136.1,163.0,180.0,175.3
139.0,165.4,179.8,177.5
138.0,171.6,176.2,178.0
142.8,164.4,176.1,180.0
147.4,176.1,163.2,177.6
128.8,158.0,159.3,175.3
173.1,140.9,154.4,170.1
107.1,129.1,142.3,163.9
140.4,130.4,126.7,169.0
144.5,122.9,128.9,171.8
149.9,124.9,124.4,173.0
156.5,125.9,111.1,173.3
163.8,127.2,107.9,167.3
177.8,121.9,105.6,172.6
178.5,122.8,105.8,173.9
175.4,131.4,100.6,174.5
173.0,139.3,93.2,159.1
175.8,156.2,70.3,132.9
175.3,135.2,81.8,110.9
177.0,121.1,91.1,92.0
180.0,120.4,100.2,77.8
177.5,115.3,109.7,73.2
177.2,111.3,107.7,71.2
176.8,126.7,103.6,14.9
180.0,121.4,105.1,12.6
171.1,123.5,105.8,9.7
138.9,134.6,98.5,9.4
136.1,133.5,89.4,75.8
173.0,135.2,84.7,89.6
170.8,155.9,69.4,109.1
155.4,163.4,69.7,128.6
116.3,154.6,80.6,141.5
118.5,160.7,72.9,134.2
130.7,152.0,83.3,132.5
133.6,141.0,86.4,129.0
133.2,145.5,83.9,126.9
135.0,127.3,97.4,123.0
132.1,161.1,74.3,123.7
136.5,161.3,74.6,121.5
141.6,153.8,81.5,115.0
152.5,141.1,82.6,99.5
161.8,129.7,94.5,129.5
169.9,135.4,91.8,134.0
177.9,129.4,94.6,137.8
174.6,137.2,94.2,140.8
169.9,131.7,96.4,142.6
169.4,111.3,110.5,157.7
170.5,116.1,108.7,173.9
173.1,107.7,115.1,171.9
167.9,101.4,118.5,169.4
160.8,115.2,114.6,170.8
124.7,112.8,112.0,169.6
135.0,118.5,114.1,171.2
138.6,116.6,112.0,169.8
137.3,123.4,108.6,170.1
139.5,121.8,111.4,172.7
127.3,125.1,112.9,176.2
116.1,131.9,112.2,176.6
114.6,127.4,110.2,171.7
122.6,120.2,117.4,171.9
135.0,120.2,109.4,164.0
140.3,111.5,109.0,154.0
140.9,104.5,111.3,161.2
144.0,113.4,98.4,155.2
143.6,116.2,95.4,151.1
147.5,113.0,95.4,140.7
154.7,137.9,77.7,122.7
156.2,129.9,80.6,109.1
159.0,108.6,94.2,98.5
164.4,106.5,98.5,86.6
167.5,101.8,106.9,16.1
173.6,99.1,108.7,153.4
177.1,98.6,110.2,155.6
176.4,107.1,110.6,156.8
173.0,117.2,106.4,11.1
174.6,123.8,105.3,11.0
180.0,115.6,101.9,109.7
167.1,115.9,101.9,116.6
156.8,117.2,101.0,128.7
118.4,151.0,74.8,134.4
139.0,143.5,79.2,134.9
146.0,155.7,79.6,135.8
148.4,144.1,85.2,137.2
152.1,148.7,77.0,134.4
149.2,133.4,88.7,136.9
149.7,109.1,95.8,137.3
148.1,125.1,95.1,148.2
150.7,117.2,110.7,154.7
152.4,104.9,112.0,159.2
157.9,105.4,111.0,163.4
162.1,107.4,112.9,169.7
164.6,117.8,113.3,173.1
168.9,115.7,113.3,175.1
174.1,113.5,117.9,175.5
177.6,119.6,120.8,180.0
176.2,109.6,126.6,180.0
177.1,106.2,128.7,179.2
170.0,107.9,126.0,177.5
127.3,109.6,124.9,177.5
162.8,98.6,132.6,178.2
144.7,87.4,134.8,176.1
143.6,112.1,113.6,172.6
145.5,117.1,107.0,171.0
148.8,106.0,104.8,161.6
153.0,122.1,91.4,148.7
158.6,114.5,87.8,138.5
165.9,109.3,91.3,134.2
178.8,118.4,83.4,125.6
173.7,125.1,81.2,125.9
166.1,151.7,84.6,17.8
171.8,110.7,97.5,16.7
120.4,110.2,98.3,152.1
154.0,114.8,94.2,153.6
150.7,110.6,99.4,153.3
120.1,109.0,99.1,152.3
133.8,144.1,99.4,153.9
133.7,133.6,99.8,14.6
137.0,152.7,88.3,14.0
137.7,132.5,99.6,13.2
139.3,96.5,111.8,15.9
145.2,120.8,106.5,13.9
149.1,121.6,105.1,15.4
155.8,112.4,110.8,15.3
161.9,88.9,113.0,151.7
168.8,101.9,103.5,14.4
174.7,119.1,99.3,11.2
178.7,95.6,109.6,12.1
167.4,116.9,98.8,12.4
156.7,127.6,98.0,11.4
152.1,111.1,96.9,16.3
153.2,106.3,102.1,19.7
152.4,110.7,98.2,24.9
151.7,111.9,99.2,28.7
122.0,105.8,104.4,30.9
122.5,107.5,106.5,127.2
122.2,100.8,106.5,133.6
126.9,106.0,103.9,142.4
136.6,108.1,104.4,142.8
140.9,102.8,103.6,146.3
146.9,101.6,113.3,165.2
157.9,100.9,117.0,166.2
161.0,99.7,116.2,164.9
163.6,96.6,115.2,161.5
168.5,98.4,111.2,166.4
170.8,103.8,104.0,164.2
175.3,100.9,106.9,159.9
178.7,115.7,92.5,151.2
174.3,144.4,72.9,143.2
168.2,127.3,80.0,131.0
177.4,145.4,80.8,129.1
178.0,162.7,79.8,139.7
175.6,148.5,89.0,16.2
163.8,145.4,90.5,11.0
120.4,149.7,87.0,14.5
150.6,120.4,87.9,18.9
131.0,140.3,96.0,9.7
138.8,133.4,104.7,11.9
135.2,140.5,102.5,7.7
135.8,114.4,115.9,4.8
140.9,118.2,111.6,7.3
141.8,117.4,118.0,12.6
150.5,131.6,124.7,18.4
156.1,133.3,123.8,142.7
161.9,132.1,131.6,159.5
168.6,125.4,138.2,176.3
178.5,139.7,137.3,152.2
171.8,138.9,123.0,174.6
162.0,135.4,137.2,180.0
118.7,126.5,141.7,174.8
118.0,136.7,137.6,169.4
119.9,125.9,133.9,91.8
130.4,148.7,126.7,98.0
135.1,152.2,146.1,126.8
141.0,152.0,137.4,127.2
137.9,142.4,145.2,88.9
139.8,140.9,149.7,61.5
139.4,95.9,173.2,172.5
137.9,145.3,147.7,31.8
138.3,126.3,148.9,40.3
141.8,127.5,180.0,71.3
143.9,115.7,173.7,84.9
149.8,117.6,174.7,91.3
152.5,143.5,177.1,90.2
155.0,122.6,172.9,84.6
155.8,137.4,173.9,89.3
156.5,136.9,173.9,44.1
157.2,131.3,175.8,44.7
154.5,132.5,176.4,43.9
153.0,139.1,175.8,44.1
129.5,139.2,171.6,45.5
128.8,163.4,178.3,45.3
129.8,163.0,180.0,45.0
128.9,161.8,177.7,154.8
130.4,159.4,177.4,159.1
131.3,163.7,177.7,160.4
129.9,170.1,178.3,42.0
102.3,149.8,175.3,149.6
98.4,150.0,176.7,151.3
106.7,156.4,180.0,40.2
114.4,157.5,178.3,38.9
115.0,159.9,179.3,38.6
117.7,150.8,180.0,39.2
157.8,147.8,176.4,38.0
89.6,146.4,175.0,36.2
91.6,145.1,168.4,27.3
154.3,132.2,171.0,65.5
140.8,127.4,173.6,178.7
123.7,120.0,174.3,171.7
116.1,117.3,173.1,167.5
125.1,124.0,180.0,168.2
137.2,128.1,171.6,180.0
136.5,128.0,176.7,163.6
139.5,141.2,175.3,157.5
138.4,126.9,177.4,103.0
139.8,134.8,176.3,90.7
145.1,135.3,171.1,123.3
146.0,135.3,171.0,124.7
146.9,151.8,175.6,124.4
151.3,145.1,177.1,137.4
150.1,149.7,174.3,48.9
149.4,148.0,172.5,46.8
136.0,160.5,173.8,49.8
111.7,163.0,172.9,48.1
115.9,163.8,169.1,162.1
122.1,163.8,169.8,162.4
130.9,152.8,175.4,165.9
135.4,152.0,180.0,165.1
136.5,152.6,177.3,169.4
135.4,151.4,177.0,166.8
136.7,152.3,176.8,167.3
134.7,166.1,177.3,168.1
135.5,164.1,177.8,171.1
137.7,148.9,172.3,170.9
141.5,151.1,174.9,169.5
144.7,150.1,175.6,174.6
150.0,141.2,174.8,171.9
153.4,153.9,180.0,171.8
157.8,152.2,176.4,175.3
160.8,140.0,180.0,178.2
164.8,148.0,172.7,177.0
167.9,149.3,167.3,174.4
171.2,151.1,156.4,163.3
176.3,147.7,147.6,163.0
108.7,144.7,146.7,162.1
111.3,140.7,147.2,160.6
131.3,141.8,148.8,163.6
133.3,152.5,146.9,166.4
134.0,155.2,151.3,170.9
138.7,152.2,157.1,172.7
143.1,152.2,157.4,170.9
148.2,160.5,154.8,171.2
151.6,159.2,158.1,180.0
155.4,142.8,162.4,174.8
159.3,135.8,167.3,165.1
162.2,147.0,163.0,144.8
161.9,132.8,155.9,92.0
162.8,135.7,154.0,76.3
162.0,130.4,150.3,118.4
162.9,121.4,153.8,141.4
158.2,134.4,148.8,129.2
149.1,126.2,147.7,131.1
124.1,124.7,149.0,61.2
113.5,138.9,146.0,78.4
126.1,135.7,152.7,87.7
125.7,137.5,152.6,93.1
128.7,151.4,150.4,95.6
130.4,128.9,167.4,98.5
129.6,132.6,171.6,104.5
131.9,132.6,175.6,115.3
134.9,134.3,177.4,120.7
135.5,133.1,176.4,97.7
134.6,147.5,173.0,110.6
136.6,152.7,169.0,136.4
142.3,159.2,168.8,142.6
142.2,157.3,172.1,162.9
147.9,154.6,173.6,165.6
145.6,154.1,166.8,158.2
127.6,150.9,169.7,160.6
119.5,152.4,163.0,157.5
113.4,150.6,165.7,160.1
107.5,152.7,162.4,157.4
110.3,161.5,165.2,159.7
115.0,144.7,169.9,163.0
124.9,163.2,163.9,160.2
125.0,144.1,170.5,159.8
125.6,163.9,164.1,162.7
128.2,165.1,163.6,161.4
131.5,146.9,168.5,157.7
132.1,166.2,165.1,158.8
135.1,152.3,169.8,159.3
136.4,163.9,165.7,157.6
137.2,154.8,177.4,165.1
137.9,140.7,177.7,164.5
140.2,155.8,173.4,163.7
141.8,151.4,178.2,169.0
143.8,157.6,180.0,171.7
147.3,159.5,180.0,167.7
152.2,144.4,176.0,171.3
137.0,155.7,177.0,170.9
135.6,155.6,176.4,170.9
125.8,156.5,178.6,169.3
121.1,154.7,178.3,169.4
114.3,153.8,177.0,168.1
113.1,154.8,179.3,167.8
122.8,153.7,180.0,163.6
123.8,154.8,180.0,159.0
129.3,155.6,178.2,168.3
134.8,154.0,177.4,165.7
136.6,155.4,178.0,164.3
137.0,154.0,177.9,163.7
140.0,153.2,176.5,164.7
142.1,153.1,177.4,163.9
143.0,149.7,176.1,164.5
150.6,143.0,170.1,163.0
151.4,151.8,177.6,162.0
154.2,155.1,180.0,162.5
155.4,152.6,178.7,162.7
157.1,152.5,179.3,162.1
161.3,133.8,174.3,161.3
121.3,142.2,177.4,161.7
150.4,151.6,175.7,161.2
143.7,141.4,176.9,159.3
136.8,142.2,177.3,163.7
125.3,142.8,177.3,163.2
108.8,145.4,175.4,164.3
109.0,145.1,176.4,165.2
120.3,145.8,173.3,161.4
124.7,144.6,174.6,161.9
128.9,156.8,171.3,160.9
131.1,155.7,173.3,161.6
133.4,161.3,169.7,163.0
138.7,158.7,170.7,156.4
