elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
98.8,189.3,69.5,82.1,82.1,51.4,51.4,127.8
98.5,191.9,68.3,83.7,83.7,80.0,80.0,13.6
99.3,192.0,74.4,78.2,78.2,79.3,79.3,13.7
108.0,191.4,69.1,82.3,82.3,80.3,80.3,13.4
105.8,195.8,66.5,81.7,81.7,80.8,80.8,13.4
105.4,196.7,68.1,84.5,84.5,52.4,52.4,128.1
107.6,263.5,65.2,90.2,90.2,74.5,74.5,13.5
102.5,262.8,68.3,83.6,83.6,53.5,53.5,128.4
101.6,196.1,65.7,82.8,82.8,80.1,80.1,13.1
100.6,263.0,65.7,81.5,81.5,52.9,52.9,128.2
100.0,264.2,65.1,83.0,83.0,53.3,53.3,128.3
99.2,263.7,65.6,89.4,89.4,54.0,54.0,128.6
98.8,156.6,65.2,81.9,81.9,51.3,51.3,124.4
97.9,132.1,65.4,89.9,89.9,74.7,74.7,13.0
97.3,268.0,65.8,81.4,81.4,48.0,48.0,126.3
97.7,177.5,72.3,69.5,69.5,26.3,26.3,106.7
97.7,185.1,71.6,70.5,70.5,95.4,95.4,170.9
95.8,193.2,71.9,49.3,49.3,46.0,46.0,65.6
95.2,114.3,70.0,69.0,69.0,29.4,29.4,62.0
92.4,127.1,69.0,49.6,49.6,90.9,90.9,436.6
96.1,194.0,69.7,39.0,39.0,85.2,85.2,97.8
92.5,117.4,71.9,38.7,38.7,50.8,50.8,37.2
95.2,128.8,68.1,41.3,41.3,57.3,57.3,52.0
92.0,121.0,62.5,123.7,123.7,58.5,58.5,44.4
94.9,117.4,65.0,49.5,49.5,55.7,55.7,34.2
92.6,124.3,62.9,49.7,49.7,61.6,61.6,40.0
94.0,113.6,54.0,63.2,63.2,83.9,83.9,89.8
100.7,126.3,54.0,57.6,57.6,97.4,97.4,108.7
99.2,123.1,53.4,63.6,63.6,87.0,87.0,103.0
97.5,131.2,53.8,58.2,58.2,85.8,85.8,101.8
97.3,126.1,53.3,58.0,58.0,91.3,91.3,105.9
96.7,124.8,54.4,67.0,67.0,87.2,87.2,103.4
