elbow_collarbone_paw,hip_iliac_crest_knee,knee_hip_ankle,ankle_knee_mtp
148.9,128.8,104.9,6.3
148.9,129.5,104.2,6.3
151.4,128.4,103.7,6.9
150.6,126.3,105.2,6.7
147.5,128.5,103.3,6.3
150.2,128.0,103.6,6.7
150.9,125.9,105.5,6.8
149.4,126.1,105.3,9.1
150.0,124.9,105.4,9.3
147.9,127.3,104.9,8.9
148.7,124.3,106.5,9.3
148.4,124.3,108.3,7.7
147.4,130.6,103.8,7.9
147.3,129.2,104.5,7.6
148.3,129.1,105.1,7.5
146.0,124.6,108.1,7.7
149.1,126.5,105.3,9.0
152.2,125.9,107.0,8.0
147.9,126.7,105.4,6.4
148.1,127.5,104.4,6.2
150.5,125.2,106.0,6.7
151.8,124.2,107.2,6.5
150.2,128.1,104.1,8.7
149.4,127.9,104.6,7.0
151.3,128.6,104.4,6.5
152.8,125.5,104.9,6.1
152.4,123.6,108.0,9.2
147.8,132.9,104.1,10.2
153.9,131.0,105.0,177.1
149.6,131.3,104.1,6.9
153.9,130.9,104.7,7.3
152.2,133.2,104.3,6.5
155.7,135.3,101.7,26.9
158.6,136.6,126.5,78.0
137.4,138.7,105.1,28.3
90.8,145.1,99.1,29.8
135.1,144.3,96.6,29.6
140.9,144.8,93.7,29.9
141.0,146.2,93.9,33.9
134.0,149.0,93.0,32.7
134.1,150.1,98.6,32.8
132.1,151.0,95.7,32.5
125.2,148.9,91.9,38.5
127.4,155.0,89.0,38.7
136.1,157.7,85.0,39.6
134.1,158.9,79.2,41.3
131.9,157.5,75.5,43.3
132.0,155.4,75.0,46.5
131.9,155.3,73.5,55.7
128.5,156.6,74.1,60.3
131.4,156.9,73.2,73.6
128.4,158.0,72.7,86.4
122.1,159.9,73.7,105.4
125.1,163.0,75.9,126.5
132.8,159.4,82.7,147.4
126.4,158.4,84.4,156.6
129.0,152.3,86.5,158.7
134.2,153.6,84.2,160.5
139.6,149.9,87.2,164.7
147.5,150.5,87.3,163.6
157.6,151.0,88.9,165.0
177.8,147.1,92.5,165.6
143.9,148.1,91.7,166.1
121.9,146.7,94.2,167.1
121.7,146.2,92.9,164.3
123.6,147.9,92.0,166.2
130.4,148.0,92.5,163.7
131.9,149.6,90.7,162.8
129.7,146.7,93.8,164.2
126.9,146.1,94.3,165.5
126.4,147.7,93.9,166.4
125.4,146.8,96.7,167.0
122.1,143.5,96.7,166.3
123.7,142.5,97.0,165.4
122.7,144.6,97.6,166.5
121.8,146.3,95.4,166.0
128.9,144.9,95.3,166.1
133.4,145.1,94.7,165.6
140.3,143.3,95.3,165.3
142.7,143.7,95.5,164.2
144.3,145.8,94.3,164.0
122.4,144.8,94.6,164.8
116.7,144.3,94.4,165.6
126.3,141.8,95.7,165.0
126.1,140.9,95.6,165.8
127.3,141.2,95.2,166.3
122.0,138.3,96.6,166.6
119.7,131.7,98.6,166.6
120.8,126.8,99.2,160.6
123.7,126.1,98.9,162.1
118.7,126.4,94.7,163.3
120.7,119.5,101.4,163.7
119.3,118.0,100.3,163.0
116.7,113.1,102.5,161.8
122.3,113.7,103.5,164.1
125.9,116.6,102.1,162.6
128.5,116.8,103.3,157.7
132.0,115.3,103.8,166.5
140.2,112.2,104.4,166.4
153.6,111.8,103.7,164.0
157.3,119.9,102.7,167.5
124.6,115.3,108.0,174.0
130.5,114.0,109.8,171.2
129.6,122.2,109.4,167.7
130.8,114.6,116.4,166.1
134.2,144.2,93.9,170.1
124.4,139.1,98.5,170.0
127.8,140.8,97.6,169.5
135.2,142.6,96.2,169.9
138.0,142.7,96.1,170.6
144.5,139.9,100.1,170.0
143.3,140.8,100.9,170.6
176.8,144.3,99.6,170.3
118.6,145.7,99.1,170.2
127.9,145.0,99.0,169.9
128.0,150.5,93.5,168.1
127.6,149.1,93.5,166.0
127.1,146.0,95.4,168.5
121.7,148.0,92.4,167.3
121.2,147.7,92.9,168.8
120.9,145.9,95.7,169.3
118.5,143.6,96.3,168.5
116.1,147.3,95.3,168.1
123.5,154.1,91.2,169.3
128.8,149.6,94.1,170.1
132.2,140.5,99.7,171.6
140.5,147.0,95.1,170.6
150.3,145.0,97.0,169.3
150.4,151.2,93.2,168.4
134.3,149.1,93.9,168.0
113.7,146.9,93.3,168.4
121.0,150.2,92.2,170.9
125.6,144.1,96.5,169.4
126.2,143.9,96.8,169.8
125.6,142.9,96.8,170.0
121.3,147.9,95.8,169.3
120.7,152.4,91.5,169.0
116.2,147.9,94.4,169.0
114.9,147.1,95.8,168.9
115.6,151.2,94.5,168.2
118.0,154.3,91.0,167.2
120.3,152.0,91.4,169.5
124.4,150.0,94.3,171.3
126.7,147.6,95.7,168.4
126.0,146.3,95.9,167.6
136.9,144.0,97.9,169.1
138.4,146.2,95.6,167.5
138.2,149.6,94.2,170.5
143.2,152.2,93.2,168.3
154.1,149.6,95.1,167.5
160.6,149.3,95.1,169.6
141.4,143.0,99.1,169.6
168.6,142.7,102.3,170.7
115.6,137.3,103.1,170.3
119.0,133.5,104.5,170.0
111.4,135.4,101.3,169.4
116.0,126.7,110.8,167.4
109.0,144.4,94.9,169.9
117.1,147.1,93.2,170.6
114.6,148.7,91.9,171.3
117.9,146.9,93.0,169.5
121.0,141.0,99.1,173.0
120.6,141.4,100.2,173.0
123.9,134.6,106.3,173.1
129.4,133.2,107.2,172.0
133.3,135.0,107.2,170.8
139.9,132.0,106.5,172.1
146.3,140.4,104.7,168.2
155.7,142.5,104.3,169.3
133.3,139.3,105.9,170.9
99.7,141.4,103.2,173.0
112.1,141.3,103.0,170.8
130.4,132.3,108.1,172.0
127.5,133.0,107.9,173.3
124.4,129.4,108.7,171.9
122.2,127.8,109.7,170.7
121.9,127.8,111.6,170.7
121.6,135.1,103.2,171.9
121.6,135.1,102.7,171.4
119.3,139.5,99.8,171.5
116.6,144.7,97.3,170.9
114.9,134.9,103.6,172.3
116.3,130.5,108.3,173.5
118.9,127.3,108.9,171.4
121.3,124.3,110.6,171.8
124.4,117.8,111.4,171.1
129.5,118.3,113.2,172.8
142.8,137.0,106.8,171.6
158.6,135.4,110.5,175.3
126.0,136.0,110.2,172.6
119.6,133.6,109.0,168.5
