elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
93.6,88.8,58.1,51.5,51.5,97.0,97.0,75.7
93.0,100.7,58.2,51.2,51.2,96.4,96.4,75.7
98.5,97.5,58.2,51.2,51.2,96.6,96.6,75.9
98.6,99.1,58.6,50.9,50.9,96.4,96.4,75.8
98.0,99.8,57.6,51.6,51.6,95.2,95.2,75.5
96.7,97.4,57.9,51.2,51.2,94.5,94.5,75.8
102.5,95.7,58.0,50.3,50.3,94.8,94.8,76.0
103.7,96.1,58.1,49.6,49.6,94.6,94.6,76.5
104.0,96.5,57.5,49.3,49.3,94.4,94.4,76.4
105.6,97.5,57.6,48.3,48.3,94.5,94.5,76.5
106.2,96.9,54.3,50.2,50.2,94.1,94.1,76.9
109.2,97.1,54.5,50.3,50.3,93.9,93.9,77.0
103.8,97.4,54.9,49.8,49.8,93.9,93.9,76.2
105.3,98.3,54.6,51.9,51.9,93.1,93.1,72.8
103.2,95.2,56.9,50.4,50.4,93.7,93.7,75.0
107.8,97.2,55.0,52.3,52.3,96.6,96.6,72.5
102.8,95.9,57.0,51.8,51.8,96.9,96.9,73.9
100.9,103.5,57.2,53.7,53.7,99.1,99.1,74.7
105.1,92.3,60.0,52.1,52.1,99.1,99.1,73.8
104.1,96.6,59.5,55.2,55.2,97.5,97.5,72.1
110.1,91.8,60.1,55.2,55.2,97.3,97.3,72.2
107.4,89.2,57.8,54.9,54.9,96.7,96.7,71.9
101.1,92.4,60.1,52.6,52.6,96.6,96.6,71.3
103.6,91.7,60.4,52.6,52.6,94.0,94.0,74.6
94.1,90.0,57.8,52.2,52.2,94.7,94.7,74.8
90.6,93.7,58.3,50.9,50.9,94.9,94.9,74.6
90.4,94.1,57.7,52.1,52.1,97.0,97.0,72.5
92.6,97.0,57.8,51.6,51.6,94.7,94.7,74.3
96.8,93.5,57.5,51.5,51.5,94.6,94.6,74.0
91.8,97.1,57.4,52.8,52.8,96.1,96.1,70.2
97.3,93.3,57.2,53.3,53.3,95.8,95.8,70.8
94.8,93.5,56.8,54.0,54.0,94.6,94.6,71.2
95.2,94.2,57.1,54.1,54.1,94.8,94.8,71.1
95.7,93.9,57.5,54.3,54.3,94.7,94.7,70.8
93.5,95.0,57.1,54.6,54.6,94.5,94.5,71.5
92.9,96.9,57.1,54.7,54.7,93.1,93.1,72.5
92.0,103.3,57.4,53.9,53.9,93.5,93.5,72.4
91.4,113.4,57.4,55.4,55.4,94.2,94.2,71.7
97.9,115.3,57.5,56.2,56.2,93.8,93.8,72.8
103.5,111.9,57.2,56.6,56.6,95.0,95.0,73.9
104.6,115.7,58.5,53.8,53.8,96.6,96.6,74.0
110.0,112.6,58.4,53.7,53.7,96.9,96.9,72.1
108.8,105.5,57.9,54.6,54.6,96.3,96.3,71.2
108.0,102.9,58.0,55.2,55.2,95.7,95.7,71.2
102.5,104.8,58.6,54.7,54.7,96.5,96.5,71.3
101.5,111.1,59.4,56.2,56.2,96.0,96.0,71.8
109.5,106.2,60.2,56.3,56.3,95.9,95.9,72.5
108.0,99.6,59.1,55.3,55.3,96.3,96.3,72.8
100.1,105.4,57.1,56.9,56.9,96.2,96.2,72.7
106.7,89.8,55.9,55.8,55.8,97.1,97.1,72.4
98.2,100.3,55.8,53.0,53.0,98.6,98.6,73.0
94.4,94.9,57.2,51.3,51.3,99.3,99.3,72.7
92.2,91.8,59.8,51.1,51.1,99.4,99.4,72.9
88.0,90.0,58.9,52.5,52.5,97.0,97.0,73.4
90.8,92.1,59.4,51.8,51.8,96.2,96.2,74.2
90.3,87.3,61.3,52.3,52.3,95.5,95.5,72.7
87.0,92.3,63.5,53.1,53.1,93.8,93.8,73.1
81.5,89.9,61.5,53.5,53.5,93.9,93.9,75.6
84.3,94.4,60.7,53.4,53.4,94.5,94.5,76.5
85.8,94.3,60.5,53.6,53.6,95.5,95.5,76.1
85.2,92.7,59.6,54.5,54.5,97.2,97.2,75.6
86.9,94.5,59.7,54.9,54.9,97.1,97.1,75.2
79.4,101.2,60.0,55.3,55.3,97.1,97.1,75.1
80.9,83.2,60.0,55.6,55.6,97.2,97.2,75.3
83.1,101.5,60.7,54.4,54.4,97.2,97.2,73.9
93.7,111.6,59.3,56.8,56.8,98.8,98.8,70.8
101.6,109.1,58.9,57.0,57.0,99.3,99.3,71.2
101.4,107.6,58.3,56.3,56.3,97.1,97.1,72.8
101.6,103.9,60.2,52.5,52.5,97.1,97.1,73.7
98.8,99.2,62.6,53.5,53.5,97.5,97.5,73.4
93.3,95.6,60.1,52.1,52.1,97.1,97.1,73.4
94.3,89.4,60.0,53.8,53.8,96.9,96.9,73.4
