elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
108.9,93.2,107.3,65.1,65.1,99.5,99.5,49.3
106.0,92.8,104.1,66.4,66.4,99.1,99.1,47.1
108.2,93.4,79.3,68.3,68.3,96.2,96.2,55.4
110.9,96.6,78.9,61.4,61.4,89.3,89.3,58.4
112.7,94.7,89.7,63.8,63.8,92.6,92.6,45.3
110.7,92.7,75.5,59.9,59.9,104.9,104.9,56.4
115.6,86.8,74.3,74.3,74.3,104.4,104.4,65.7
108.1,94.2,73.3,70.0,70.0,101.2,101.2,61.2
93.5,108.5,79.2,66.4,66.4,92.9,92.9,59.3
100.5,98.8,77.1,73.4,73.4,94.2,94.2,62.8
100.2,99.3,84.0,76.2,76.2,94.2,94.2,64.4
102.4,98.4,89.3,73.6,73.6,95.7,95.7,63.2
84.7,111.9,83.3,77.2,77.2,93.6,93.6,60.2
79.6,103.6,83.0,76.0,76.0,90.2,90.2,60.2
81.2,89.7,85.4,75.5,75.5,88.8,88.8,63.5
94.6,86.7,75.1,76.9,76.9,91.0,91.0,62.0
109.2,89.6,75.8,74.1,74.1,89.8,89.8,62.3
125.7,81.7,77.4,71.0,71.0,89.5,89.5,63.4
133.3,95.7,80.8,72.0,72.0,90.3,90.3,64.5
137.9,104.1,81.5,73.0,73.0,92.8,92.8,63.2
143.2,105.8,78.6,70.8,70.8,98.0,98.0,62.4
147.3,109.1,81.8,70.3,70.3,100.2,100.2,61.8
154.5,111.1,87.6,65.0,65.0,105.9,105.9,60.8
159.2,120.8,88.0,67.5,67.5,108.5,108.5,55.6
161.6,110.0,83.2,68.8,68.8,114.0,114.0,56.2
160.3,108.7,82.9,66.6,66.6,118.5,118.5,52.1
154.2,109.8,75.2,70.5,70.5,122.5,122.5,57.0
149.9,103.1,77.7,71.1,71.1,120.9,120.9,52.8
139.4,103.2,85.6,62.8,62.8,108.5,108.5,54.3
132.4,106.8,100.4,63.1,63.1,96.5,96.5,52.7
132.6,101.9,105.0,67.2,67.2,97.6,97.6,53.4
132.1,98.0,84.6,69.1,69.1,105.5,105.5,54.6
128.4,89.0,100.2,67.7,67.7,109.9,109.9,47.9
123.5,83.6,104.6,66.5,66.5,108.8,108.8,49.2
116.7,87.6,102.2,66.1,66.1,101.7,101.7,47.4
117.1,90.8,88.5,68.6,68.6,101.5,101.5,48.8
121.1,85.0,85.5,70.6,70.6,104.2,104.2,46.0
109.4,84.5,99.8,67.3,67.3,104.4,104.4,49.2
104.6,86.0,93.4,70.2,70.2,93.9,93.9,50.1
102.8,84.0,84.6,65.2,65.2,87.4,87.4,58.1
110.0,80.2,84.3,68.5,68.5,85.8,85.8,55.8
101.9,87.0,81.9,62.3,62.3,86.8,86.8,43.7
91.5,96.4,74.2,63.9,63.9,96.8,96.8,55.6
92.2,100.5,67.3,74.2,74.2,102.7,102.7,74.8
103.0,94.5,77.0,67.0,67.0,93.9,93.9,60.3
110.0,84.7,70.4,74.9,74.9,87.0,87.0,59.0
96.6,92.7,81.4,75.8,75.8,99.9,99.9,63.4
86.6,102.7,87.3,69.2,69.2,105.8,105.8,64.0
79.3,95.1,79.4,68.6,68.6,102.2,102.2,56.7
85.7,89.2,77.1,70.5,70.5,101.7,101.7,61.3
100.7,72.7,77.0,66.7,66.7,100.5,100.5,60.5
121.2,66.8,79.3,69.2,69.2,99.3,99.3,59.5
125.7,79.9,80.4,68.4,68.4,96.8,96.8,58.6
131.7,86.8,78.6,64.3,64.3,103.3,103.3,62.7
138.5,90.6,86.0,66.7,66.7,105.0,105.0,62.2
