elbow_collarbone_paw,hip_iliac_crest_knee,knee_hip_ankle,ankle_knee_mtp
118.8,141.2,128.9,66.7
111.6,137.6,127.6,59.5
113.1,139.6,121.3,56.7
106.0,133.8,128.6,56.8
100.4,125.9,127.9,55.2
99.4,126.4,121.0,51.1
99.7,134.6,89.6,25.9
114.3,135.3,116.0,63.0
119.0,118.0,109.7,79.5
115.7,139.2,130.4,74.7
132.3,160.0,119.9,75.3
131.7,177.0,114.0,69.1
134.0,157.7,129.0,74.7
136.4,48.3,166.3,83.5
153.2,47.5,161.2,87.9
149.6,48.5,158.7,83.1
141.9,129.2,155.7,82.0
142.9,112.8,161.7,19.9
146.8,47.6,147.9,22.4
77.5,153.1,101.4,0.5
156.9,120.9,117.5,43.8
85.2,134.1,103.0,34.9
35.0,158.7,76.3,25.6
38.2,166.2,68.4,24.2
154.7,149.6,136.9,76.7
149.4,159.6,129.3,73.9
134.2,152.0,127.1,67.9
120.0,155.3,129.5,69.5
73.5,155.2,121.1,60.9
114.5,155.0,117.2,57.9
114.1,155.2,116.4,58.2
111.2,145.5,116.3,54.1
109.1,141.6,124.1,57.8
109.2,99.5,6.9,58.7
109.6,111.4,7.0,62.2
109.1,87.6,5.2,65.7
109.4,134.9,122.5,58.4
161.5,131.6,129.3,59.8
167.2,147.0,121.1,63.0
166.9,148.3,101.5,39.6
167.2,164.5,78.0,66.6
119.8,145.7,117.6,58.5
137.7,144.4,117.7,63.7
145.3,144.2,121.0,69.0
134.4,141.8,116.2,63.2
134.1,145.9,121.2,65.0
134.6,134.9,132.4,67.8
130.8,148.5,119.2,65.2
124.2,147.0,124.5,71.8
127.1,141.6,128.5,73.6
127.9,146.0,126.2,76.4
130.6,145.7,128.2,81.7
127.4,149.3,126.2,83.1
142.0,148.4,129.7,11.3
142.0,175.1,93.6,18.1
113.4,174.8,98.5,9.3
97.4,178.1,94.5,9.3
110.1,170.7,84.5,9.1
126.4,149.7,71.7,9.5
22.1,136.2,51.2,8.2
126.2,136.3,60.2,8.6
128.3,157.6,111.5,66.1
127.1,170.0,115.4,1.2
123.5,150.2,100.4,56.5
122.2,129.7,114.7,46.1
117.6,132.0,132.1,54.8
114.4,142.6,134.0,64.7
116.0,151.9,138.9,80.9
108.7,163.2,130.0,79.8
104.8,164.4,123.2,70.5
108.2,83.3,180.0,70.9
110.0,93.0,172.9,65.3
107.5,167.2,120.7,69.5
110.5,77.4,155.3,82.3
119.5,52.6,172.2,65.0
120.1,151.0,122.1,61.2
124.1,150.5,126.8,65.2
77.0,141.0,126.9,62.6
77.4,136.7,134.4,64.3
80.6,135.0,127.8,60.0
77.2,133.1,128.3,59.1
78.9,136.6,123.7,52.6
69.7,128.9,123.6,53.4
108.5,132.3,119.8,51.7
76.7,136.5,118.4,49.9
93.4,135.3,122.0,52.5
92.7,133.2,126.2,48.8
94.7,138.6,125.2,50.4
98.7,134.2,128.3,52.4
101.9,127.8,132.7,54.6
105.9,132.0,134.4,54.6
118.7,145.3,119.9,56.3
121.8,157.4,115.7,67.1
120.9,160.1,119.3,68.8
120.9,169.7,121.8,72.7
123.5,173.0,119.1,66.9
111.2,167.5,122.3,72.1
114.0,159.4,124.3,74.9
115.7,159.6,128.5,85.2
118.9,147.5,143.6,87.3
136.1,146.2,142.8,95.1
136.1,84.4,49.7,64.4
118.5,35.4,95.3,131.0
124.2,42.0,103.7,125.7
126.9,83.6,47.6,52.5
81.5,95.3,47.4,50.1
134.7,71.1,149.3,44.9
111.1,152.5,45.6,22.0
115.0,52.9,164.6,69.5
116.0,156.2,47.5,32.8
121.5,27.2,163.9,22.2
122.5,142.4,80.6,55.3
127.6,127.0,116.2,36.3
134.6,122.5,116.0,42.4
145.1,141.5,109.1,53.1
145.4,69.6,175.2,68.5
155.7,71.3,167.0,82.8
69.7,68.6,166.5,72.7
77.7,150.6,125.8,76.4
65.0,145.4,128.0,76.8
65.4,139.8,136.7,78.7
91.5,132.7,145.0,80.1
112.4,130.8,145.2,60.1
95.7,138.8,136.2,70.2
102.5,168.4,51.1,144.2
101.4,140.0,131.8,119.4
100.3,135.6,139.7,69.0
107.7,142.8,126.0,121.3
109.5,142.1,123.2,125.0
117.6,130.9,142.3,121.9
114.1,141.0,120.0,57.9
110.7,170.1,51.2,49.2
110.7,174.4,52.1,49.7
109.7,174.3,50.1,51.3
121.5,161.7,47.0,53.8
117.6,82.2,141.0,59.2
118.9,177.9,53.5,64.3
130.7,36.1,130.5,69.3
136.2,32.3,163.4,67.9
172.7,85.0,129.8,68.3
174.4,69.7,148.4,70.2
174.1,27.2,169.1,71.6
176.2,22.9,174.1,85.3
139.7,25.4,169.0,80.2
138.5,73.7,142.2,85.7
172.2,25.4,164.5,92.0
142.3,24.2,162.4,92.2
145.9,46.7,151.1,93.7
147.8,48.2,147.3,13.6
84.4,90.8,5.4,19.7
165.4,125.6,46.7,31.9
162.8,137.8,93.7,17.0
162.4,139.6,24.3,0.2
148.7,110.5,135.1,37.9
151.2,168.8,34.5,18.6
154.3,163.0,75.3,23.8
78.6,164.7,130.4,80.9
178.1,156.0,132.2,81.7
176.3,155.0,127.2,74.4
177.6,142.3,137.2,80.8
180.0,167.2,44.6,38.5
136.1,135.0,143.7,80.5
133.9,128.7,139.0,74.7
132.6,128.0,143.0,77.4
127.4,62.4,53.5,168.9
109.7,62.1,54.0,173.4
109.7,62.9,51.5,175.0
118.2,65.2,55.0,172.3
126.4,127.7,140.8,67.1
134.9,68.1,52.4,174.3
133.9,128.0,137.2,62.6
127.4,119.5,145.4,64.8
127.6,125.9,135.8,67.5
118.8,115.7,148.8,73.5
112.1,113.7,116.7,96.2
116.9,20.3,167.0,78.6
113.6,109.3,148.3,79.4
114.8,21.6,158.1,77.3
132.5,96.6,147.0,79.2
142.5,21.1,156.9,87.6
167.5,158.9,105.3,83.8
68.1,168.0,97.7,79.4
62.8,108.8,10.5,74.4
177.1,135.7,136.9,79.4
125.4,149.1,63.3,83.3
125.7,151.2,64.3,14.1
120.8,158.9,103.4,20.4
62.4,161.7,36.5,23.9
59.6,40.6,49.0,18.0
26.6,108.3,74.8,8.7
97.7,134.3,106.5,30.1
29.2,154.8,76.4,22.0
53.8,164.0,65.8,60.2
38.7,173.4,120.6,75.0
142.2,141.3,45.2,30.5
137.8,158.0,131.3,72.6
132.6,148.1,131.1,68.4
118.0,153.4,126.4,63.0
47.7,148.0,132.5,65.7
96.5,146.0,128.8,63.0
95.8,149.1,125.8,61.7
105.8,125.9,152.5,63.2
109.6,132.1,135.0,57.3
99.1,138.8,137.4,54.7
108.5,139.0,116.4,51.4
110.4,116.4,161.6,58.9
132.1,132.9,117.2,56.6
128.5,120.8,154.1,61.2
128.5,101.2,171.7,60.4
128.3,146.3,34.8,43.0
119.6,141.7,31.9,42.8
120.7,153.2,66.0,45.9
124.5,121.3,12.1,43.0
110.5,155.6,14.4,46.5
117.2,125.9,11.1,47.8
113.5,115.4,140.2,60.9
115.8,104.3,145.1,65.1
118.0,107.9,143.5,69.3
116.2,110.1,140.4,72.2
116.8,35.5,161.9,71.5
116.4,33.7,163.4,73.4
113.2,103.1,7.3,78.2
110.0,62.5,80.7,82.3
106.7,155.2,39.0,92.9
109.6,155.8,40.2,19.0
108.4,37.6,155.2,27.5
