,id,Group,Number Rat,Name video,Step Distance,Angle Distance
0,228e2487-11db-492d-9d59-1bf4fff2697e,Intact,1,Тreadmill Intact 1.avi,30,15
1,07b0c3e4-8f60-47d6-9ab5-c8251d94b7c3,Intact,2,Тreadmill Intact 2.avi,30,10
2,c78844e9-f2ea-46d1-aa52-b6bc8ee20963,Intact,3,Тreadmill Intact 3.avi,25,15
3,5d1b92f6-bec2-4721-827a-e4d56bdd09ae,Intact,4,Тreadmill Intact 4.avi,25,15
4,6ad50748-41e5-49de-8f30-a6c07e90a5cd,Intact,5,Тreadmill Intact 5.avi,25,15
5,b1a14f66-01fb-42ed-a3df-368f047d5769,SCI_3_dpi,1,Rat 1 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,25,5
6,e3466c7f-8d0b-4ef5-8b2d-684142062937,SCI_3_dpi,2,Rat 2 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,8
7,97d59f00-2c3d-4b0c-8e44-e5b7172c13cf,SCI_3_dpi,3,Rat 3 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,10
8,999dde3d-8046-4228-86fa-ac735ab108a8,SCI_3_dpi,4,Rat 4 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,10
9,3f533340-25cc-42c6-bc4c-22ca48b95894,SCI_3_dpi,5,Rat 5 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,10
10,1ef2b76e-a793-42be-846f-093ebc25fb2b,SCI_3_dpi,6,Rat 6 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,8
11,4cb80bfa-9a44-4a64-b862-ef0491b7cc52,SCI_3_dpi,7,Rat 7 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
12,a6d20039-f371-48a0-b08a-677f4e4053d6,SCI_3_dpi,8,Rat 8 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
13,d1272fb6-d6ba-4666-a1be-92eb8df7fa94,SCI_3_dpi,10,Rat 10 SCI (3 dpi) Treadmill  03_08_23DLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
14,f55b493e-2848-4998-901e-22d554f55715,SCI_TMT_3_dpi,1,Rat 1 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
15,b6578de8-d5ba-4820-a5da-856c69568232,SCI_TMT_3_dpi,2,Rat 2 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
16,e29cfd75-9621-4060-ad13-c5dfa688c6a7,SCI_TMT_3_dpi,3,Rat 3 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
17,fbe226b3-76f5-4fb9-8fad-a7d5ca4bf26b,SCI_TMT_3_dpi,4,Rat 4 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,50,10
18,68fe991d-7686-4bda-9d7f-2bf1e985cfb2,SCI_TMT_3_dpi,5,Rat 5 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,10,8
19,ba8bddd1-346d-4200-95c4-4fa1ce11b40c,SCI_TMT_3_dpi,6,Rat 6 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,8
20,56ffde10-18ac-40c7-a1b6-3cb24f38fbcc,SCI_TMT_3_dpi,7,Rat 7 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,8
21,a56e2888-a319-4ae1-91d9-f1796626dfa5,SCI_TMT_3_dpi,9,Rat 9 SCI (3 dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,8
22,3d7ee443-09dc-4bd7-9287-0f8074d9e98a,SCI_TMT_3_dpi,10,Rat 10 SCI (3dpi) TreadmillDLC_resnet50_all_part_SCIDec18shuffle1_50000_labeled.mp4,30,8
23,8c998bb5-f086-4856-a347-a9fdc2fa3961,SCI_7_dpi,1,Rat 1 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
24,7b99b4db-3bf5-4534-b503-34c630db8d42,SCI_7_dpi,2,Rat 2 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
25,01ed04b3-26fc-4f3a-b45d-098e90d45edf,SCI_7_dpi,3,Rat 3 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
26,a506e5d3-1fc8-40fb-816b-129686d56de0,SCI_7_dpi,4,Rat 4 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,99,10
27,20c4977d-0ec1-4e9c-8eac-018381f0f7e4,SCI_7_dpi,5,Rat 5 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,60,10
28,408680b0-79b1-4213-b96c-b909cc578216,SCI_7_dpi,6,Rat 6 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,60,8
29,927b4f43-4a2b-4e05-bd86-0ed4a4784ade,SCI_7_dpi,7,Rat 7 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,60,8
30,e1e4c852-9d56-484b-83bf-83072dc21ae3,SCI_7_dpi,8,Rat 8 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,15
31,4d5d3fce-cbbc-4592-994b-cd4ac3afc081,SCI_7_dpi,9,Rat 9 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
32,eddabe9a-49d0-4ece-b39b-20b386111eb8,SCI_7_dpi,10,Rat 10 SCI (7 dpi) Treadmill  03_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,30,10
0,fafdc0d9-dd7c-4c5e-88b8-e86d16f0d47d,SCI_TMT_7_dpi,1,SCI 1 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,50,15
1,cdd4482a-7fad-4d2c-83b2-0b5906c0fa74,SCI_TMT_7_dpi,2,SCI 2 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,50,15
2,87f0bf65-3f66-4758-a1c9-0dd71e48fbf1,SCI_TMT_7_dpi,3,SCI 3 (7 dpi) Treadmill Rehabilitation group 07_08_23DLC_resnet50_all_parts_SCIDec19shuffle1_50000_labeled.mp4,90,30
