elbow_collarbone_paw,hip_iliac_crest_knee,knee_hip_ankle,ankle_knee_mtp
137.0,116.6,148.7,20.8
132.8,115.1,156.0,25.4
130.8,117.4,148.2,19.4
129.7,118.2,148.0,19.5
132.0,117.0,147.8,19.3
133.9,118.7,146.5,35.8
136.8,118.4,143.0,33.2
142.5,108.4,140.3,27.8
144.8,140.3,113.3,30.5
143.2,138.4,113.0,30.5
140.2,136.5,115.9,31.7
142.8,137.9,127.3,20.7
142.8,133.9,122.4,36.2
143.8,135.6,130.7,21.2
144.9,139.8,125.5,43.0
145.6,142.2,131.7,23.0
144.9,137.1,132.6,20.9
148.1,131.4,140.2,24.0
152.5,122.8,157.2,31.6
151.2,127.1,158.4,36.6
158.6,143.2,149.5,32.1
163.1,136.9,157.2,34.8
167.3,136.0,161.8,35.1
93.1,149.1,58.7,90.2
102.0,146.0,176.1,43.8
108.7,161.3,171.2,46.4
120.3,170.1,172.0,46.7
131.9,173.0,175.5,55.8
145.6,172.9,172.3,56.8
154.4,174.4,173.7,55.6
159.1,175.1,177.2,165.4
162.5,176.1,175.0,166.6
174.6,165.6,177.3,175.7
177.6,164.4,178.5,175.3
174.6,165.1,177.1,175.4
169.0,166.6,176.8,172.1
123.7,161.1,177.8,170.0
148.6,156.7,176.9,165.2
145.2,141.0,178.0,157.9
141.9,176.3,158.9,152.9
144.1,155.8,177.6,164.1
143.6,173.9,172.6,167.5
140.9,166.3,175.3,172.0
122.3,161.3,178.1,171.4
107.4,163.1,168.5,164.4
112.0,167.3,176.9,169.7
119.5,165.5,180.0,171.3
123.5,163.4,177.9,172.3
133.2,161.3,176.2,77.9
137.7,151.5,173.7,81.7
142.1,160.6,180.0,176.5
155.8,156.9,178.1,175.2
162.1,164.9,171.2,178.1
175.7,145.8,168.9,178.1
178.1,148.6,166.5,178.6
172.1,164.1,92.0,144.8
165.6,127.0,169.3,176.5
141.3,140.7,167.2,176.1
129.2,150.0,161.7,165.6
130.6,167.8,153.6,164.9
130.6,161.7,165.8,60.0
137.6,138.7,85.6,136.9
136.7,166.8,176.5,177.1
142.7,118.7,68.0,34.2
135.7,171.0,170.8,64.4
114.9,159.6,161.9,90.4
117.8,160.1,162.6,175.3
123.8,165.4,170.3,177.4
132.5,174.9,180.0,177.5
142.4,172.9,174.3,177.3
153.6,173.6,173.1,177.5
171.1,159.1,178.6,178.5
175.7,158.5,171.9,178.0
178.3,149.2,171.2,178.3
172.1,142.4,157.3,175.3
