elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
107.6,97.1,61.1,59.4,59.4,110.3,110.3,50.1
107.4,96.9,60.7,59.1,59.1,109.0,109.0,50.3
108.3,96.7,60.6,59.4,59.4,110.0,110.0,50.3
107.1,97.8,60.7,59.3,59.3,110.2,110.2,50.3
108.6,96.7,61.1,59.3,59.3,110.0,110.0,50.4
107.8,97.7,60.4,59.5,59.5,110.4,110.4,50.4
108.5,96.6,60.3,60.0,60.0,109.2,109.2,50.3
107.8,96.8,61.0,59.4,59.4,109.7,109.7,50.3
108.4,96.0,60.9,59.6,59.6,109.9,109.9,49.6
108.3,97.3,60.7,59.3,59.3,109.4,109.4,49.5
108.6,96.6,60.9,60.1,60.1,109.5,109.5,50.6
108.0,100.8,60.4,59.7,59.7,109.3,109.3,50.2
108.5,96.7,59.6,59.5,59.5,108.4,108.4,50.3
109.3,96.6,59.9,58.7,58.7,108.7,108.7,50.3
109.1,100.2,60.0,58.8,58.8,109.5,109.5,50.1
109.6,95.9,59.6,58.9,58.9,108.6,108.6,50.5
108.7,96.8,59.7,59.5,59.5,109.1,109.1,49.9
107.7,95.7,59.4,58.9,58.9,109.7,109.7,50.0
102.7,98.4,57.7,60.8,60.8,108.9,108.9,51.5
98.1,98.9,60.3,54.8,54.8,112.2,112.2,50.9
96.0,95.7,62.4,55.9,55.9,110.4,110.4,53.3
94.7,95.4,61.6,56.7,56.7,114.2,114.2,53.0
91.0,93.7,63.7,57.4,57.4,109.7,109.7,54.0
92.4,94.8,60.4,55.6,55.6,113.5,113.5,56.6
94.8,87.9,63.8,58.3,58.3,112.0,112.0,57.1
88.1,92.5,62.8,57.4,57.4,113.7,113.7,59.1
87.1,89.2,61.1,60.1,60.1,110.3,110.3,61.5
87.6,89.1,61.3,60.0,60.0,112.0,112.0,64.3
85.7,85.8,62.3,60.6,60.6,114.4,114.4,67.3
88.5,82.5,62.0,63.1,63.1,111.0,111.0,69.7
88.3,82.1,62.2,61.9,61.9,109.2,109.2,73.6
85.8,84.5,62.1,61.8,61.8,110.7,110.7,77.2
89.5,80.5,62.4,61.5,61.5,111.7,111.7,78.0
94.1,81.7,62.4,62.6,62.6,112.8,112.8,78.2
81.8,97.9,62.4,61.7,61.7,112.9,112.9,74.9
96.9,90.4,63.3,62.8,62.8,115.4,115.4,73.7
96.6,98.2,65.3,61.5,61.5,110.4,110.4,76.7
102.8,90.1,63.8,61.2,61.2,111.2,111.2,77.1
94.8,79.5,64.0,61.7,61.7,113.8,113.8,75.2
96.2,72.5,65.0,62.7,62.7,116.4,116.4,73.4
100.2,62.1,66.3,59.9,59.9,118.1,118.1,73.3
108.7,53.3,64.7,61.4,61.4,116.4,116.4,75.6
112.3,161.3,62.5,63.7,63.7,114.1,114.1,75.1
111.1,103.1,65.1,60.2,60.2,118.4,118.4,74.8
106.9,104.3,64.1,60.3,60.3,116.3,116.3,74.8
104.6,102.9,61.6,61.8,61.8,114.4,114.4,74.3
98.2,111.6,60.5,61.2,61.2,113.7,113.7,75.5
96.2,107.5,60.4,59.0,59.0,113.7,113.7,75.1
106.8,89.0,57.9,57.8,57.8,109.8,109.8,76.0
103.0,88.4,58.9,61.0,61.0,106.8,106.8,74.8
100.4,81.9,63.7,58.8,58.8,108.6,108.6,72.3
105.4,73.9,61.3,55.7,55.7,110.5,110.5,72.9
106.9,104.8,67.4,55.2,55.2,109.9,109.9,72.7
113.9,69.7,62.3,59.3,59.3,110.3,110.3,72.5
109.2,113.3,62.9,62.5,62.5,111.2,111.2,72.2
