elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
84.2,46.9,60.0,73.8,73.8,100.7,100.7,70.4
86.9,49.9,60.7,69.3,69.3,90.0,90.0,74.1
88.3,90.1,61.2,68.8,68.8,87.7,87.7,76.1
92.7,93.9,59.8,68.4,68.4,88.9,88.9,79.7
93.0,90.4,59.6,69.5,69.5,89.1,89.1,78.8
91.7,78.7,59.9,69.8,69.8,88.1,88.1,73.1
91.8,74.9,59.8,69.4,69.4,87.9,87.9,66.0
90.1,74.0,59.2,68.3,68.3,88.2,88.2,61.4
89.6,75.1,62.1,65.9,65.9,90.1,90.1,57.7
89.7,72.2,60.8,65.0,65.0,89.9,89.9,57.3
94.3,68.7,62.3,62.6,62.6,95.2,95.2,49.5
95.3,66.4,64.3,60.6,60.6,95.0,95.0,46.6
98.3,67.8,63.5,60.7,60.7,94.5,94.5,43.3
97.9,69.9,63.1,55.0,55.0,94.0,94.0,42.8
100.9,74.8,61.5,55.8,55.8,93.1,93.1,39.6
102.8,76.9,63.4,54.5,54.5,94.3,94.3,38.1
95.2,87.8,63.3,56.5,56.5,94.0,94.0,40.0
94.6,87.7,63.8,57.1,57.1,93.3,93.3,41.0
78.7,71.7,65.9,57.6,57.6,94.4,94.4,40.0
79.9,97.6,64.4,59.2,59.2,91.3,91.3,37.7
74.6,101.5,64.8,59.9,59.9,93.8,93.8,35.3
79.0,95.4,64.9,61.0,61.0,93.0,93.0,34.1
90.8,91.0,64.2,61.5,61.5,91.4,91.4,35.1
95.6,88.7,63.9,60.9,60.9,92.2,92.2,38.0
97.4,83.0,65.0,59.6,59.6,91.3,91.3,39.9
92.1,83.5,64.3,60.1,60.1,92.5,92.5,39.0
93.6,80.0,66.3,61.5,61.5,95.3,95.3,37.0
90.0,80.9,65.7,59.6,59.6,97.4,97.4,37.6
92.3,76.0,63.2,57.3,57.3,100.6,100.6,37.7
93.7,75.1,65.6,55.9,55.9,98.5,98.5,38.3
92.4,74.5,60.5,62.0,62.0,95.6,95.6,105.9
92.7,77.8,55.8,67.3,67.3,94.6,94.6,106.9
93.5,79.0,55.6,64.1,64.1,86.7,86.7,112.5
94.6,84.4,57.8,63.4,63.4,163.8,163.8,49.7
101.7,79.3,58.2,64.2,64.2,161.4,161.4,46.5
105.0,83.9,58.5,64.5,64.5,156.8,156.8,45.1
