elbow_collarbone_paw,hip_iliac_crest_knee,knee_hip_ankle,ankle_knee_mtp
102.7,147.9,104.2,170.3
104.0,149.1,104.0,169.8
105.7,149.6,102.8,169.6
107.3,145.8,103.0,170.9
111.2,151.7,101.9,170.5
115.7,150.7,103.3,169.5
119.9,149.5,103.6,168.9
126.7,153.1,102.2,168.4
105.4,151.0,103.5,168.2
90.7,147.8,106.2,168.5
91.0,145.6,107.8,168.9
97.2,141.3,108.7,167.5
107.9,138.6,109.1,168.4
110.1,136.8,110.6,169.6
105.9,146.0,107.8,167.9
106.8,145.4,108.2,167.7
102.4,145.9,107.9,168.3
99.0,147.6,107.0,168.4
101.0,149.0,104.7,168.0
107.6,139.2,105.2,169.5
109.3,137.3,106.6,170.0
106.3,132.9,111.6,170.9
107.2,134.5,111.5,172.1
106.5,136.0,110.2,171.7
107.8,140.3,108.1,171.6
105.9,142.4,107.4,170.7
107.9,143.4,107.3,170.3
108.1,142.2,107.3,170.2
108.0,142.4,106.8,170.6
107.6,142.0,104.7,170.8
111.6,129.1,105.4,171.1
112.3,145.0,103.3,171.4
118.3,148.2,102.2,170.8
122.5,149.6,103.2,170.4
123.3,145.7,103.5,171.1
125.5,149.1,103.8,170.3
128.6,157.6,98.5,167.9
128.7,154.2,99.3,168.7
132.4,152.0,99.6,168.6
117.7,144.9,101.7,168.1
141.9,142.7,102.4,168.6
180.0,140.2,104.1,169.6
118.4,145.9,103.6,169.4
104.8,148.3,105.2,168.6
107.7,146.4,106.2,167.9
166.4,145.8,106.2,169.4
100.8,144.6,107.6,169.7
103.5,148.9,106.5,169.7
101.7,147.4,107.3,169.2
101.6,148.2,107.5,169.4
103.4,154.4,101.6,169.8
102.9,153.5,101.3,170.6
103.3,144.7,102.9,170.7
107.9,143.9,101.6,171.4
108.8,145.1,100.6,171.4
108.3,151.6,99.1,171.0
109.5,145.0,97.9,170.9
107.9,142.5,99.0,170.7
149.1,128.2,101.6,169.8
109.6,138.1,102.9,168.8
102.6,135.3,105.7,169.0
102.6,133.9,107.0,170.5
102.8,123.6,107.7,170.8
100.0,134.8,104.1,169.7
103.3,134.9,104.8,169.3
104.6,136.0,106.0,169.2
103.3,133.8,108.7,168.7
106.2,145.0,110.1,168.0
108.3,145.7,110.1,167.1
113.7,145.3,108.9,164.1
115.5,146.6,107.1,164.3
120.2,145.9,105.2,164.7
127.1,150.2,107.2,164.7
128.5,144.9,103.9,164.4
133.9,143.7,103.4,163.2
137.4,142.1,104.7,163.6
147.6,149.2,101.5,163.6
92.4,148.0,103.4,164.5
93.8,146.6,103.0,163.0
91.4,148.5,100.2,161.0
100.3,148.6,100.2,160.4
102.0,146.8,101.8,160.5
101.9,145.8,103.8,161.2
101.6,144.8,104.0,160.1
104.1,143.2,102.7,159.4
106.1,145.2,102.7,158.4
109.5,141.0,105.7,160.4
109.4,139.4,106.5,164.0
112.7,139.8,107.3,165.5
117.9,144.0,105.9,167.3
125.6,145.4,107.3,167.6
131.9,142.4,109.8,168.2
135.0,146.0,108.2,169.2
144.7,150.1,110.3,172.5
149.4,147.7,108.7,170.4
144.6,151.7,111.5,173.3
113.0,149.5,113.9,173.2
100.1,158.3,115.3,174.3
101.1,156.5,118.7,175.7
108.4,155.0,122.0,174.9
104.3,157.2,123.2,174.1
105.8,153.2,126.8,174.1
106.5,152.4,128.3,173.5
104.4,149.4,132.3,174.3
105.6,159.8,127.8,174.1
108.0,160.3,127.1,174.1
113.0,158.3,128.5,174.8
115.2,157.8,129.3,177.7
123.4,158.4,128.8,178.5
120.2,158.7,127.9,174.9
126.3,160.0,127.0,175.6
100.7,153.0,128.0,176.1
98.2,152.3,129.4,180.0
99.0,164.0,124.9,177.1
99.6,163.4,125.6,180.0
100.6,150.6,130.3,177.9
100.2,153.2,127.9,176.2
104.0,153.5,127.5,177.3
107.3,152.2,128.7,177.6
109.4,154.7,124.9,175.2
108.5,150.6,126.9,173.1
111.3,161.8,118.7,173.9
111.9,157.0,118.9,172.2
114.8,155.6,117.6,171.5
117.8,154.4,115.8,167.1
124.4,155.8,114.1,166.1
130.2,159.5,113.7,168.8
133.8,160.8,108.3,167.7
138.7,156.6,102.9,168.1
147.7,150.8,104.3,165.3
156.0,149.4,104.0,165.6
125.6,152.7,102.5,165.5
98.3,140.8,104.0,165.8
92.8,139.5,104.5,167.4
100.7,138.2,105.1,168.0
109.9,138.5,105.6,167.9
103.9,140.5,103.4,167.7
102.0,139.2,105.0,169.2
106.7,143.4,102.6,167.4
104.6,134.0,104.9,167.7
104.1,133.8,104.9,167.4
107.9,136.4,103.5,167.2
103.9,135.3,103.8,168.1
98.1,136.1,104.4,168.4
98.2,137.2,104.5,169.0
98.1,141.0,103.0,169.3
98.9,143.2,100.6,169.5
100.8,140.1,102.5,170.3
100.4,135.8,101.4,170.9
101.3,135.3,100.4,171.4
104.3,135.0,100.2,172.4
105.5,144.7,95.9,172.7
105.3,142.7,100.1,171.2
109.9,145.6,97.8,168.6
116.3,146.4,100.2,170.5
117.7,153.8,96.0,170.7
121.4,150.2,94.0,170.1
126.5,143.7,99.5,170.4
129.4,145.1,99.3,170.2
71.4,150.1,105.8,173.4
91.7,148.9,106.8,173.0
110.6,127.3,109.6,172.1
108.5,122.6,110.7,170.8
107.5,128.3,107.5,172.3
103.8,128.0,109.7,173.8
103.2,128.9,108.9,173.0
100.3,129.5,109.8,172.3
100.2,128.5,108.5,170.3
99.9,137.2,105.7,171.2
101.3,136.7,105.5,169.8
99.3,137.0,107.5,170.3
101.6,136.9,105.0,168.7
105.5,137.7,104.4,168.3
107.5,137.8,104.3,169.2
111.4,137.0,104.4,169.3
116.9,136.5,104.1,170.5
120.3,126.8,110.3,173.2
126.4,133.7,102.4,172.6
131.3,139.8,102.5,172.5
134.6,133.7,101.1,171.5
144.1,130.6,106.5,173.6
130.9,139.5,107.2,172.9
176.3,130.6,105.8,171.8
109.0,131.4,106.1,173.9
105.9,129.6,108.4,176.2
106.0,131.0,108.0,176.7
105.2,135.7,108.6,174.5
104.8,139.0,107.9,173.1
