,Group,Day,Number Rat,Step Params,Angle Params,Average Max Angel,Average Min Angel,Average Step Duration (s),Total Count Step,Average height Step
0,Intact,0,1,30,15,87.41349332125864,66.22030075187968,0.251313969571231,241,13.837361653645834
1,Intact,0,2,30,10,81.18261543229004,50.54796682718027,0.36446078431372547,136,11.202428985060305
2,Intact,0,3,25,15,85.68379917184264,65.06176218990588,0.2549435028248588,118,6.651102701822917
3,Intact,0,4,25,15,82.2803387334315,51.69575289575293,0.2534246575342466,219,16.39205771998355
4,Intact,0,5,25,15,79.32132462132459,59.803550624133116,0.25,91,10.893697102864584
5,SCI,3,10,50,10,166.27808499743978,164.79622980251344,0.0,0,0.0
6,SCI,3,1,25,5,166.7163080114078,164.4374311926606,0.3458333333333333,8,5.077443440755208
7,SCI,3,2,30,8,169.49505928853748,165.4879384088964,0.3527777777777778,18,4.425987243652344
8,SCI,3,3,30,10,167.29161255411256,164.81670748299317,0.2388888888888889,3,3.42333984375
9,SCI,3,4,30,10,178.8559146735616,177.25589550482468,0.0,0,0.0
10,SCI,3,5,30,10,178.65291262135935,176.9969201610992,0.0,0,0.0
11,SCI,3,6,30,8,167.12471042471057,164.0768745067089,0.35,4,2.52587890625
12,SCI,3,7,50,10,165.23524347592155,156.56425813568657,0.4910714285714286,28,10.677222618689903
13,SCI,3,8,50,10,169.30575576873227,160.72145473574022,0.43476190476190474,35,26.14636456524884
14,SCI_TMT,3,10,30,8,139.9525907990313,80.1012315270936,0.3184057971014493,230,23.94640878530649
15,SCI_TMT,3,1,50,10,171.237420770356,166.9157214644654,0.5157894736842105,19,7.389869689941406
16,SCI_TMT,3,2,50,10,158.63816964285735,154.39815270935944,0.3416666666666667,12,17.270467122395832
17,SCI_TMT,3,3,50,10,158.3463486599459,154.8298679060666,0.48333333333333334,2,10.868896484375
18,SCI_TMT,3,4,50,10,176.13133704735404,172.16468962585046,0.3590909090909091,11,28.76988525390625
19,SCI_TMT,3,5,10,8,177.91288577791934,171.09507042253526,0.0,0,0.0
20,SCI_TMT,3,6,30,8,165.37790984525714,162.46309523809518,0.4,10,8.986258370535714
21,SCI_TMT,3,7,30,8,168.86928356928354,166.02740788623132,0.29285714285714287,7,7.31051025390625
22,SCI_TMT,3,9,30,8,163.40933969369812,160.50399899396368,0.3595238095238095,14,3.95755615234375
23,SCI,7,10,30,10,156.6240169731258,149.92535571997746,0.36346153846153845,26,6.002777099609375
24,SCI,7,1,30,10,131.3656084656086,108.04578483245152,0.3725225225225225,37,4.012657752403846
25,SCI,7,2,30,10,155.65809898762637,154.15136778115505,0.0,0,0.0
26,SCI,7,3,30,10,165.06974470396543,158.34448114505923,0.3142857142857143,14,6.28973388671875
27,SCI,7,4,99,10,177.93317522321425,169.17051671732517,0.8476923076923076,65,5.890096461519282
28,SCI,7,5,60,10,178.19411764705862,174.70680272108862,0.5947368421052631,19,7.889700082632212
29,SCI,7,6,60,8,167.06647086466162,165.51714285714291,0.0,0,0.0
30,SCI,7,7,60,8,166.17701530612234,151.34278074866293,0.4257309941520468,57,10.20062725360577
31,SCI,7,8,30,15,154.54455391351948,148.4768194070081,0.3236111111111111,12,7.303074428013393
32,SCI,7,9,30,10,105.34956206584108,93.96961152882211,0.33527131782945735,43,3.780848911830357
33,SCI_TMT,7,1,50,15,159.16353529738728,155.7268940452891,0.0,0,0.0
34,SCI_TMT,7,2,50,15,171.31098412698415,160.37034196228825,0.6133333333333333,30,9.99583740234375
35,SCI_TMT,7,3,90,30,171.1558964525407,140.86099556767812,0.5561624649859944,119,10.653934894221845
36,SCI_TMT,7,4,90,30,178.14049135577812,174.82329297820826,0.48333333333333334,2,7.0391845703125
37,SCI_TMT,7,5,120,10,170.2605995139078,167.9578626799556,0.8583333333333333,8,1.15655517578125
38,SCI_TMT,7,6,50,10,171.2705207835642,168.03414334806092,0.46111111111111114,9,7.088633219401042
39,SCI_TMT,7,7,70,10,155.09262672811067,127.21752336448603,0.5,102,9.28359535092213
40,SCI_TMT,7,8,120,15,168.71939185312687,159.3943260368664,0.600462962962963,36,24.263488769531246
41,SCI_TMT,7,9,120,15,163.6347181729835,152.7518611670019,0.41050228310502285,73,3.729201808120265
42,SCI,14,10,80,14,132.46314111851638,117.50898526077093,0.49129353233830847,67,13.10366948445638
43,SCI,14,1,60,15,151.07711757269294,126.4466248037676,0.5311965811965812,78,8.39010009765625
44,SCI,14,2,80,20,148.37148760330572,143.27821723730818,0.6520833333333333,16,6.62451171875
45,SCI,14,3,80,14,157.34214009928283,153.66968286296208,0.6270833333333333,8,7.835978190104167
46,SCI,14,4,80,14,128.64800605754644,68.81845131612567,0.36590214067278287,218,22.141328794766316
47,SCI,14,5,80,14,176.96951884920634,173.3581431136188,0.5111111111111112,15,3.09661865234375
48,SCI,14,6,80,14,167.96012013580574,164.93197903014442,0.7023809523809524,7,6.62713623046875
49,SCI,14,7,80,14,141.68927916120572,130.02502017756257,0.4777777777777778,45,8.710518129410282
50,SCI,14,8,80,14,55.11723254324152,47.34061925199263,0.5911764705882353,34,5.339652683423913
51,SCI,14,9,80,14,91.5426716141003,71.55897435897434,0.45358126721763087,121,11.52718068592584
52,SCI_TMT,14,10,80,40,155.5897995889002,148.35184415584422,0.646969696969697,11,10.2777099609375
53,SCI_TMT,14,1,80,14,124.28881375035225,107.86246830092976,0.4464285714285714,84,14.541006314552432
54,SCI_TMT,14,2,50,20,144.73548966756513,134.17629115070963,0.5180555555555555,36,5.24600830078125
55,SCI_TMT,14,3,50,20,140.76819352991686,131.24885540423062,0.504,25,7.373738606770833
56,SCI_TMT,14,4,80,30,140.87847082494963,122.91844737895154,0.6223577235772358,41,8.04791259765625
57,SCI_TMT,14,5,100,30,153.59673469387738,150.43892339544524,1.2916666666666667,4,3.5848388671875
58,SCI_TMT,14,6,100,30,153.48346537183753,135.45982636148398,0.46015625,64,12.321358816964286
59,SCI_TMT,14,7,100,20,164.56182218552175,158.63621262458463,0.6787878787878788,22,6.903485979352679
60,SCI_TMT,14,8,80,40,157.27975007100252,144.1764740393077,0.4942307692307692,26,8.765892876519096
61,SCI,21,10,80,30,134.65066710055336,102.00307253721878,0.49118773946360156,87,9.78628879123264
62,SCI,21,1,80,40,146.97473725184892,112.86739305891861,0.7366666666666667,70,11.633865356445312
63,SCI,21,2,60,40,121.41693121693118,98.01252380952376,0.6506944444444444,24,6.523017035590278
64,SCI,21,3,120,40,156.50710132890364,112.01495405179617,0.8645021645021645,77,7.500457763671875
65,SCI,21,5,120,40,177.1204310937858,170.39166062364043,0.7,42,11.796914236886161
66,SCI,21,6,120,40,175.14794626711435,173.32634575569375,0.0,0,0.0
67,SCI,21,7,100,40,68.98670411985024,54.1701370585134,0.6098765432098766,27,7.833902994791667
68,SCI,21,9,80,30,121.24090486519997,102.79849293563586,0.4804597701149425,58,10.11180419921875
69,SCI_TMT,21,10,80,40,132.01747394236662,116.24221198156683,0.5193693693693694,37,10.831819233141447
70,SCI_TMT,21,1,80,30,157.90782172373073,138.9713362068964,0.538135593220339,59,41.24218280498798
71,SCI_TMT,21,2,80,40,146.54545170365753,126.01891715590345,0.6112745098039216,68,12.581756591796875
72,SCI_TMT,21,3,80,40,172.0085020242914,153.8662956091529,0.6438888888888888,60,7.838236490885417
73,SCI_TMT,21,4,80,40,73.2177848467322,34.44362244897957,0.43109965635738834,97,5.487875295239825
74,SCI_TMT,21,5,80,40,175.18616883116874,146.24392170329673,0.687843137254902,85,6.577341715494792
75,SCI_TMT,21,6,80,40,159.97070997413059,142.1979378362224,0.47614379084967323,51,22.85464816623264
76,SCI_TMT,21,8,80,40,131.7015285126396,73.80192419825075,0.43787878787878787,165,13.653624444945246
77,SCI,28,10,80,30,160.19455391351963,133.67852831273353,0.463003663003663,91,9.323202597128379
78,SCI,28,1,80,30,112.07220902612823,92.22692702980468,0.6217171717171718,66,9.582316080729166
79,SCI,28,2,80,30,145.06169055857634,101.01311154598828,0.7411111111111112,60,10.408102596507353
80,SCI,28,3,80,30,143.20014321518073,77.70814788226848,0.5622807017543859,152,11.959239793860394
81,SCI,28,5,80,30,170.06787172011664,165.15008965929468,0.6863636363636363,11,6.335205078125
82,SCI,28,6,80,30,170.10452819164468,163.87680397312295,0.6375,4,8.116251627604166
83,SCI,28,7,80,30,89.84973262032078,58.99160104986879,0.5844155844155844,77,6.866653797238372
84,SCI,28,9,80,30,83.35213032581451,68.79781438074116,0.5,44,17.30286583533654
85,SCI_TMT,28,10,80,30,144.19222638936233,116.84497226074883,0.8111111111111111,57,11.583004600123354
86,SCI_TMT,28,1,80,30,157.86146179401987,138.38945114830688,0.7118421052631578,38,9.137806285511363
87,SCI_TMT,28,2,80,30,163.66277056277053,144.00897531787584,0.688425925925926,72,7.3332570393880205
88,SCI_TMT,28,3,80,30,130.0541520839963,107.48673469387764,0.5871584699453553,61,8.074792196584303
89,SCI_TMT,28,4,80,30,144.3766968325792,101.20497448979584,0.5645,100,6.3144977276141825
90,SCI_TMT,28,5,80,30,172.94713412860068,142.09917460317456,0.5227864583333334,128,8.5252685546875
91,SCI_TMT,28,6,80,30,130.2452873563219,93.78110389610394,0.549290780141844,94,19.22705078125
92,SCI_TMT,28,8,80,30,142.16362101709237,118.93075734157644,0.4340978593272171,109,16.51711808389692
